,Comentario
37,"El costo del museo es un poco elevado tomando en cuenta la experiencia, sin embargo la figuras que se exponen son muy realistas y se pueden tomar fotos dentro del museo sin costo adicional, con la única condición de evitar tocar las figuras."
38,"A pesar de las nuevas normas de salud y sana distancia se puede disfrutar muy bien el recorrido en ambos museos. Las atracciones adicionales como la  4D o la de realidad virtual están bien si deseas adquirirlas en paquete y si quieres consentir a los más pequeños del hogar. Sigue manteniendo la nostalgia de cuando éramos pequeños, recomendable para toda la familia."
39,Una gran experiencia para compartir con familiares y amigos
40,"Me pareció una de las atracciones principales de la ciudad me encantó su temática y la casa del terror estuvo sin lugar a duda de los mejores momentos del recorrido , los invito a que pasen si van a Roma y están buscando conocer la ciudad ."
41,"Esta muy padre, me impresionaron algunas figuras son muy realistas como Broso,  tiene varias salas área de terror y área para niños."
42,"Un lugar divertido para compartir con amigos o familiares, ya que la visita se hace más amena y disfrutable. Ya que en museo encontrarás personas de distintas épocas y ámbitos."
43,"Lugar súper entretenido para llevar a los niños, vale la pena comprar las 3 atracciones, museo de cera, museo de Ripley y viaje fantástico. Tiene sección para comer algún snack y puedes hacer tu mano de cera. 👍"
44,"Un lugar maravilloso para visitar en familia, muy económico $150 la entrada, solo incluye el museo de cera, si quieres entrar a el museo de ripley es un costo adicional."
45,"De los mejores museos que he visitado, recomiendo las 4 atracciones,  los costos de adultos $415 pesos, niños y adultos mayores $345; los costos en comida rápida también son accesibles, super recomendable."
46,"Es un clásico en la cdmx te gusten los museos o no. Los detalles y realismo de gran parte de sus figuras son enormes. El museo es relativamente pequeño, con calma lo recorres al rededor de una hora, poco mas. Tiene al menos 10 salas temáticas y una zona de horror. Todo bien pero el costo en relación con el tiempo de visita es alto, 150 adultos y 125 niños, sin lugar a dudas uno de los museos mas caros de todo el pais."
47,"Muy ordenado, pero aun le faltan muchas celebridades del cine Mexicano."
