,Comentario
30,"Mucho que ver, ojalá ampliaran sus horarios, siento que cerrar a las 5 pm es muy temprano. Les recomiendo seleccionar de antemano las culturas que más les interesan ver e ir primero a ellas si no tienen mucho tiempo. Pero no deben irse de Ciudad de México sin visitar esta joya. Te ayuda a entender mucho de la historia de este maravilloso país."
31,"Maravilloso museo en Ciudad de México. Si vienes a pasar unos días es algo que no te puedes perder, de los imprescindibles. Te puedes perder en el y bucear por toda la historia de México y sus diferentes culturas. Todas las esculturas wsta muy bien conservadas. Nosotros estuvimos 5h y se nos hizo corto. Es una fantasía de sitio. Si llegamos a estar un par de días más, volveríamos fijo."
32,"Gran lugar, exposiciones increíbles y muy bien explicadas; el recorrido es muy fluido y largo, así que si planean ver bien todo el museo deben está preparados para estar ahí todo el día o visitarlo en varios días. Es un lugar al que puedes volver muchas veces sin aburrirte"
33,"Hermoso!!! Cobran 80 pp, tienen las medidas de higiene requeridas y si nec sitas información te la dan"
34,Hermoso museo de la rica cultura prehispánica mexicana. Muy buena organización de las salas y galerías. Para admirar la capacidad artística transmitida en el tiempo en obras de arte únicas. Recomendado en el recorrido por el paseo a Reforma.
35,"Para dar el recorrido total a todas las salas se requiere de por lo menos un día. Si cuentas con credencial de estudiante (de institución mexicana), docente o de Inapam la entrada es gratuita. En el podrás encontrar piezas originales y réplicas como el copilli de Moctezuma (sala mexica) y la tumba de Pakal (sala maya)."
36,Es uno de los museos más impresionantes que he visitado. El lugar es inmenso y contiene muchísima informacion sobre México y la antropología en general.
37,IMprexionante!!!...posiblemente el mejor museo de todo America!!!..ir con tiempo para asi poder apreciar todo lo que tiene dentro😍🔝🇲🇽
38,"Visita obligada en el DF. Me llevé un muy buen sabor de boca después de esta visita. Lo recomiendo, y yo mismo volveré para apreciar con calma cada una de las piezas que contiene."
39,"Excelente museo, muy recomendable en cualquier visita a CDMX. Es muy grande y detallado por lo que me llevó cerca de 4 horas y podría haber demandado mas"
40,"Museo Nacional de Antropología e Historia, es un lugar que cualquier mexicano debe visitar al menos una vez en la vida."
41,Un completo recorrido por la evolución de la especie humana. Muy bien presentado y en locaciones espectaculares. Hay que visitarlo.
42,"Que bueno que fuí, está muy bien organizada la distribución de las salas. El recorrido es ameno. Y también hay para ver en cada patio, no se pierdan la arquitectura. Muy bello y respetan a full el protocolo de estos tiempos."
43,"Lugar increíble, entrada gratuita para niños hasta 13 años, maestros, estudiantes y adultos mayores,  cada sala te llena de datos muy interesantes y las exposiciones etnográficas muy enriquecedoras."
44,"Uno de los museos más importantes de la capital mexicana y con uno de las colecciones más grandes a nivel mundial de reliquias arqueológicas, con una museografía diseñada de manera muy amigable para los visitantes, nos permite aprender sobre las culturas que vivieron en el pasado ancestral de los muchos territorios que hoy ocupa México"
45,Un espectáculo obligatorio de conocer.
46,"El Museo Nacional de Antropología es uno de los recintos museográficos más importantes de México y de América. Está concebido para albergar y exhibir el legado arqueológico de los pueblos de Mesoamérica, así como para dar cuenta de la diversidad étnica actual del país."
