,Comentario
17,"Es un lugar increíble para aprender! Para niños y adultos, todo el mundo aprende algo nuevo. Muchas salas, renovadas y actualizadas. Información científica muy pertinente y clara. Vale la pena ir por diversión más allá de hacer una tarea… Cuesta $90 la entrada general, y $80 con credencial de estudiante; dinero que vale la inversión porque a cambio obtienes conocimiento. Tiene un laboratorio de química de Bayer genial! Sala sobre el agua, reciclaje, universo (y un planetario), fósiles, océano, etc. Hay ejemplares reales y muchas actividades didácticas, talleres… Tiene cafetería* Baños limpios, área para niños muy pequeños, juegos en el jardín… Ideal para ir en fin de semana."
18,"Es un excelente lugar, con precios accesibles y atención de calidad, es perfecto para obtener una gran cantidad de conocimientos en cuanto a las ciencias que nos rodean así como un buen sitio para convivir con la familia.

Por otro lado cuenta con unas instalaciones magníficas y una amplia variedad de exposiciones.

Lo único en lo que no me gusto es en la limpieza de sus baños.

Sin más que decir lo recomiendo mucho"
19,"Súper para ir solo acompañado o en familia.  Para repasar conceptos básicos sobre ciencia y tecnología, evolución del hombre y la vida animal. Ademas de expos temporales y una coordinación excelente, todo el personal capacitado y muy amable para apoyar la visita en cualquier momento."
20,"Es un museo gigante y maravilloso.
Tendrás que venir dos veces :)
La exposición de Tesoros está padrísima aunque muy pequeña."
21,Qué gran museo. Hay una exposición temporal del Océano muy buena.
22,"Universum es un museo que todos deberíamos visitar. Es un lugar donde verdaderamente puedes pasar un buen rato y además aprender, sin importar la edad que tengas. Tanto las salas, como las actividades y los anfitriones son de lo mejor y un orgullo para la comunidad universitaria. Pero eso sí, es imposible recorrerlo bien en un sólo día. Mi sala favorita fue la de Océano."
23,"Muy descuidado por afuera, el museo muy bien"
24,"Un museo  de lujo, es mejor llegar antes de medio dia. Costo general  $90 mas $15 de cada expo. Total máximo $120 p/p"
25,"Algunas salas aún están cerradas, pero fuerte de eso están muy bien organizados  en cuanto a normas de seguridad sanitaria, por lo demás el museo es increíble."
26,"Es un museo al que yo le tengo mucho cariño, ya que fui anfitriona durante dos años. Sin duda, el lugar ideal para aprender sobre diversos temas relacionados con la ciencia, incluyendo física, química, astronomía, biología, anatomía e incluso ciencias sociales. También hay un espacio infantil para niños menores de 6 años y un área llamada Ciencia Recreativa para aprender sobre ciencia a través de talleres donde realizas alguna manualidad.
No me gustaba que luego hubiera equipos sin funcionar, pero espero que ya no persista tanto ese problema.
Si necesitas que alguien te explique alguna sala, busca a los anfitriones, no te cobran nada y lo harán con gusto."
27,"Excelente opción para toda la familia. En estos momentos por la pandemia se tiene diferente tipo de dinámica, grupos de 10 maximo, en muy pocas salas puedes tocar y hay salas cerradas aunque si te gusta la ciencia con las explicaciones y todo el material que se presenta es suficiente."
28,"Excelente sitio para visitar. Es muy accesible el costo del boleto y vale mucho la pena. Tienen exposiciones fijas y temporales además de que el estacionamiento es muy barato, incluso si vas en moto no pagas estacionamiento. Totalmente recomendable para ir solo, en pareja, con amigos y con la familia."
29,"Por la pandemia está un poco vacío, lo cual es bueno para poder disfrutar las exposiciones. Actualmente hay una expo de fósiles, muy interesante, y otra de océano, la cuál nos gustó mucho. El personal es muy atento y te dan muy buenas explicaciones."
30,"Es un museo muy bonito e interactivo. Definitivamente es un lugar para aprender sin importar la edad.
Vale la pena. Es una experiencia muy bonita"
31,"Gran museo, pero que en un día no alcanzas a recorrerlo todo! Mi consejo es comprar los boletos de la entrada general y una exposición."
32,"La verdad que solo entre al baño, no tenía mucho tiempo para entrar y ver el museo por dentro. Pero una experiencia muy positiva de esto es que la gente del museo me permitió entrar al baño. Buena por la gente de Universum."
33,"Muy bonito, didáctico e importante museo, apto para niños, adolescentes y adultos ya que ofrece atracciones para todas las edades y que pueden ser abordadas de distinta forma de acuerdo con el nivel de instrucción de cada persona.

Es un complemento ideal para reforzar materias de ciencias, desde biología, física química hasta astronomía.

El costo es accesible de 80 pesos para estudiantes y el lugar es seguro. Lo mejor es la excelente actitud que tienen los anfitriones que explican con mucho entusiasmo y conocimientos los temas."
34,"Muy interactivo, el guía super bueno con los niños , y las actividades super productivas ."
35,"Un lugar muy hermoso, puedes comprar los boletos con código QSR muy fácil, el acceso es rápido, cuenta con estacionamiento y la atención de los chicos que te van explicando es excelente, además cuentan con restaurante y área de snacks, tienen buen sabor y precios accesibles. Una experiencia extraordinaria además de que aprendes muchas cosas."
36,"Hace frío, así que vayan bien abrigados.
Todas las salas son geniales y siempre hay alguien quien te explique.
Fui en domingo y no hay cafetería 😟, como pasamos varias horas dentro pues te da hambre."
37,"Esta padre, debes recorrerlo todo, así que ve sin prisas, super la atención de los chicos que trabajan ahí."
38,"Me gustó mucho. Aunque siento q le falta señalética de circulación para apreciar mejor las exposiciones. Los guías y chicos q hacen las actividades (experimentos y demostraciones) muy atentos y t facilitan la apreciación de la salas. Demasiadas salas q se requiere ir desde temprano para poder recorrer todo.
$15 el estacionamiento."
39,"Increíble! Un poco caro, pero te gastas más en ir al cine y es una experiencia que vale totalmente la pena, es como el museo Papalote, pero con más información y para niños y adultos.
Hay que ir a la recepción para apuntarse a las distintas actividades y también en caja además de la entrada principal hay que hacer otros pagos aparte para algunas visitas.
El lugar vale cada peso, excepto por el planetario que es una buena experiencia, pero en definitiva le falta una renovada."
40,El personal es muy amable y se esfuerzan por que tu visita se una buena experiencia explicando las exposiciones. Excelente trato a los niños.
41,"Muy bonito, mis hijos encantados, buena atención de los jóvenes que te orientan. Lamentablemente la sala del universo (parte oscura) no estaba en servicio y esa era justo la que más queríamos visitar. Además en el planetario nos tocó el inconveniente de un joven que subía los pies en los posabrazos de nuestros asientos y aunque le dije que los bajara volvió a molestar."
42,"Tienen instalaciones muy interesantes, personal muy amable, atentos, siempre siguiendo los lineamientos de seguridad ante la contingencia"
43,"No terminé de recorrerlo, es grande y en casa sala te entretienes mucho por todos los experimentos y actividades que hay, definitivamente regresaste a terminarlo. La entrada está en $90 y con credencial de estudiante en $80"
44,Un gran museo para aprender de ciencia de manera interactiva. Solo le hace falta un poco de mantenimiento (entendible por la pandemia).
45,"Bonito, pero ya estan en mal estado las instalaciones y hay salas en las que las cosas no sirven tan bien, lámparas que no funcionan ni pantallas, ni sonido de las instalaciones, es necesario arreglarlo para mejorar la experiencia."
46,"Es buen museo , temas interesantes q t consientizan"
47,"Llegamos temprano y no recorrimos todo el Universum, nos faltó tiempo..."
48,"Este museo es grandioso para una salida escolar o familiar.Todas sus exposiciones están bien organizadas y bien planteada la información,necesita más mantenimiento las actividades de la exposición del cerebro.Hay área designada para la comida,es recomendable llevar tu propia comida por que la comida vendida aparte de no ser muy nutritiva,es un poco cara.Deberían ir a darle un vistazo,hay personas que aprenden jugando,este museo está pensado en esas personas.El museo es más interactivo pero también hay actividades para los auditivos y visuales.La exposición del mar es bastante interesante incluso para quien no está interesado en ese tema en específico.Si algún día llegan a visitar este museo tienen que ir a ver todo lo que tiene que ofrecer.Por mi parte la exposición que más me gusto fue la de física es bastante interesante,interactiva y aprendes y con amigos es más divertido.Este museo si es para llevar niños de cualquier edad.Aprenden nuevos conocimientos o los refuerzan.Fue una gran idea de parte de la escuela llevarnos a ese museo,que es de los más apropiados para personas de todas edades que he estado.Esa es mi opinión del museo Universum,ojalá les sea de ayuda a otras familias,personas o parejas a tener un día para disfrutar aprendiendo."
