,Comentario
27,"Muy impresionante ver la Alhóndiga por dónde pasaron nuestros héroes de la libertad y al mismo tiempo expusieron a los iniciadores, colgando sus cabezas. Recordando las historias de cada edificio 👍"
28,"El museo es hermoso, entrar te da una sorpresa increíble, la vista de la estructura neoclásica con cantera verde y rosa es increíble, además de los murales de las escaleras."
29,Pésima atención de la vendedora de boletos... El lugar es increíble lleno de historia
30,"Execelente lugar para visitar en la ciudad de Guanajuato. Está limpio, tiene accesos con rampas para discapacitados etc. Si lo visitas de es ir con mucho tiempo de sobra ya que  las filas para entrar son interminables y estás bastante tiempo a la intemperie. No olvides llevar tu credencial de estudiante para conseguir un descuento."
31,Es un lugar que todo mexicano debería conocer... simplemente es parada obligada al visitar Guanajuato... con documentos tan importantes como el Acta de Independencia u objetos como la bandera del Ejercito Trigarante...se henchina la piel en ese lugar... buen trabajo el del Gobierno de Guanajuato al preservar en excelente estado este tremendo patrimonio histórico
32,"Un lugar histórico bastante educativo, digerible para Niños! Sencillo pero hermoso este edificio tan emblemático, con su personal muy atento y amable, lo recomiendo ampliamente!!"
33,"Lugar historico que tienes que visitar, me da gusto que lo esten arreglando para tener una mejor conservacion."
34,"Un lindo edificio con muchísima historia, lástima que en domingos ya está cerrado por la pandemia. Les recomiendo que lo visiten"
35,"Si bien el espacio no es una joya de la arquitectura colonial, lo es como hito histórico. El recinto de los héroes y el mural dedicado a la abolición de la esclavitud destacan en la sobriedad de la estructura."
36,"Superó mis expectativas, mucha historia rodean este inmueble, muy interesante  cada una de sus salas, precios accesibles, es uno de los imperdibles de la ciudad.
😎👍"
37,"Simplemente hermoso, me enamoré de este pedacito de historia, pueblo de Guanajuato los amo"
38,"Es un museo muy padre, me encantaron los murales! Todo el lugar están muy bien conservado y el personal si vigila que se cuiden las cosas. El museo está muy cerca del centro de Guanajuato, la entrada es barata, vale la pena venir a conocerlo, además fácilmente se puede recorrer rápido a mi parecer."
39,"Un punto obligado a visitar, cuando estés en Guanajuato.
De día o de noche, su hermosa arquitectura es digna de admirar.
La entrada al día de 21/07/2021 cuesta $60 pesos por persona,  entre semana.
Si llevas cámara profesional, te cobran por usarla dentro de la instalación."
40,"Muy bonito, es uno de los lugares obligados a conocer por su trascendencia en la historia de México."
41,"Me encantó la selección de las diferentes piezas prehispánicas, además de que tiene una muy buena distribución de las áreas bien iluminadas además de que tiene buenas placas que explican de manera adecuada y entendible en ambos idiomas qué es lo que se está viendo"
42,"Museo lleno de historia. Recomiendo el recorrido guiado. Los domingos es gratis. Niños no pagan. Vale mucho la pena la visita y es lo suficientemente grande para que se pueda guardar la sana distancia aún en grupos.
Dale Like 👍🏼"
