,Nombre,Temática,Adscripción,Página web,Entidad,Municipio
407,Museo Nacional de Historia Castillo de Chapultepec (cerrado temporalmente por covid),Historia,Secretaría de Cultura/INAH,https://mnh.inah.gob.mx/,Ciudad de México,Miguel Hidalgo
408,Museo Casa de la Bola,Arte,"Fundación Cultural Antonio Haghenbeck de la Lama, I.A.P.",http://www.museoshaghenbeck.mx/,Ciudad de México,Miguel Hidalgo
409,"Museo Soumaya, Plaza Carso",Arte,"Fundación Carlos Slim, A.C.",http://www.soumaya.com.mx/index.php/esp,Ciudad de México,Miguel Hidalgo
410,Mapoteca Manuel Orozco y Berra (MOB),Especializado,"Servicio de Información Agroalimentaria y Pesquera, Secretaría de Agricultura Ganadería Desarrollo Rural Pesca y Alimentación",http://mapoteca.siap.gob.mx/,Ciudad de México,Miguel Hidalgo
411,La Casa Luis Barragán,Arte,"Fundación de Arquitectura Tapatía Luis Barragán, A.C.",http://www.casaluisbarragan.org,Ciudad de México,Miguel Hidalgo
412,Museo del Centenario del Ejército Mexicano,Historia,Secretaría de la Defensa Nacional (SEDENA),http://www.gob.mx/sedena/acciones-y-programas/museo-del-centenario-del-ejercito-mexicano,Ciudad de México,Miguel Hidalgo
413,Museo Nacional de Antropología (MNA),Antropología,Secretaría de Cultura/INAH,https://www.mna.inah.gob.mx/,Ciudad de México,Miguel Hidalgo
414,Museo de la Brigada de Fusileros Paracaidistas,,Secretaría de la Defensa Nacional,https://www.gob.mx/sedena/acciones-y-programas/museos-y-bibliotecas-9853,Ciudad de México,Miguel Hidalgo
415,Museo de Geofísica,Ciencia y tecnología,UNAM/Instituto de Geofísica,https://www.geofisica.unam.mx/museos.html,Ciudad de México,Miguel Hidalgo
416,Museo Nacional de Energía y Tecnología (Munet) (en proceso de remodelación),,,https://www.gob.mx/gobmx/articulos/conoce-como-sera-el-nuevo-museo-nacional-de-energia-y-tecnologia-munet?fbclid=IwAR2czs8VUHq-0B98NCTmlXxj60fnVs9vTesT2fNNg6yIaOo5xVzsdLDSvXc,Ciudad de México,Miguel Hidalgo
